|            Name|     sName|      ra|     dec|Dist_B|
|            char|      char|  double|  double|double|
|                |          |        |        |      |
|            null|      null|    null|    null|  null|
 G000.0335+0.2051  G000_0335 266.2253 -28.8006   null 
 G000.0355+0.2241 G000_0355b 266.2079  -28.789   null 
 G000.0474+0.1124  G000_0474 266.3237 -28.8371   null 
 G000.0693+0.2127  G000_0693 266.2392 -28.7661   null 
 G000.0939-0.1096  G000_0939 266.5679  -28.913   null 
 G000.1150-0.1399  G000_1150   266.61 -28.9107   null 
 G000.1315-0.1299  G000_1315   266.61 -28.8915   null 
 G000.2248+0.0731  G000_2248 266.4675 -28.7062   null 
 G000.2386+0.0090  G000_2386 266.5381 -28.7278  10.86 
 G000.2579+0.0182  G000_2579 266.5406 -28.7065   7.96 
 G000.2649+0.0356  G000_2649 266.5278 -28.6915  14.49 
 G000.2670-0.0845  G000_2670 266.6461 -28.7521   null 
 G000.2727-0.0636  G000_2727  266.629 -28.7363   null 
 G000.2836+0.0389  G000_2836 266.5357 -28.6738   null 
 G000.2960+0.0438  G000_2960 266.5382 -28.6606  14.49 
 G000.3069-0.1547  G000_3069 266.7382 -28.7544  13.63 
 G000.3149-0.0989  G000_3149 266.6884 -28.7186   13.3 
 G000.3173+0.0117  G000_3173 266.5822 -28.6591   null 
 G000.3322+0.0373  G000_3322  266.566 -28.6331   null 
 G000.3404+0.0562  G000_3404 266.5526 -28.6162   null 
 G000.3550-0.0884  G000_3550  266.702  -28.679   null 
 G000.3659-0.0833  G000_3659 266.7034 -28.6669   null 
 G000.3806+0.0571  G000_3806 266.5754 -28.5815   null 
 G000.4688+0.0253  G000_4688 266.6586 -28.5226   null 
 G000.4940-0.1144  G000_4940 266.8093 -28.5735   null 
 G000.4942+0.0194  G000_4942 266.6793  -28.504  10.83 
 G000.5041+0.1404  G000_5041 266.5674 -28.4326   null 
 G000.5136+0.1252  G000_5136 266.5879 -28.4324   null 
 G000.5151-0.1057  G000_5151 266.8133  -28.551  14.49 
 G000.5184-0.6127  G000_5184 267.3102 -28.8099   null 
 G000.5351-0.6329  G000_5351 267.3397  -28.806   3.29 
 G000.5568-0.0289  G000_5568 266.7632 -28.4755   null 
 G000.5652+0.0229  G000_5652 266.7177 -28.4415   null 
 G000.6255-0.0956  G000_6255 266.8686 -28.4514   null 
 G000.6840-0.1259  G000_6840 266.9325  -28.417   5.15 
 G000.7193-0.0723  G000_7193 266.9012  -28.359   null 
 G000.7341-0.1532  G000_7341 266.9885 -28.3882   null 
 G000.7352+0.0065  G000_7352 266.8339 -28.3046   null 
 G000.7352-0.0502 G000_7352b  266.889  -28.334   null 
 G000.8081+0.0263  G000_8081 266.8575  -28.232   null 
 G000.8327-0.1986  G000_8327 267.0906 -28.3272   null 
 G000.8401-0.2383  G000_8401 267.1335 -28.3414   null 
 G000.8421+0.0159  G000_8421 266.8875 -28.2083   null 
 G000.8462-0.0019  G000_8462 266.9073 -28.2139   null 
 G000.8467-0.0292  G000_8467 266.9341 -28.2277  12.07 
 G000.8511-0.1811  G000_8511 267.0843 -28.3024   null 
 G000.8574-0.0935  G000_8574 267.0028 -28.2518   null 
 G000.8785-0.1929  G000_8785 267.1119  -28.285   null 
 G000.9029-0.0258  G000_9029 266.9638 -28.1778   null 
 G000.9056+0.1140  G000_9056 266.8297 -28.1032   null 
 G000.9295+0.0041  G000_9295 266.9504 -28.1396   null 
 G001.0438-0.1262  G001_0438 267.1438  -28.109   null 
 G001.0652-0.1338  G001_0652 267.1637 -28.0946   null 
 G001.0891-0.0028  G001_0891 267.0505 -28.0065   null 
 G001.0940-0.0278  G001_0940 267.0776 -28.0152   null 
 G001.1295+0.0038  G001_1295 267.0677 -27.9685   null 
 G001.1611-0.1117  G001_1611 267.1982  -28.001   null 
 G001.1738+0.0936  G001_1738 267.0066 -27.8842   8.35 
 G001.2013+0.0046  G001_2013 267.1089 -27.9066   null 
 G001.2106+0.1020  G001_2106   267.02 -27.8484   null 
 G001.2360-0.0558  G001_2360 267.1877  -27.908   null 
 G001.2866+0.2941  G001_2866 266.8785  -27.684   null 
 G001.2885+0.0346  G001_2885 267.1307 -27.8164   null 
 G001.2890+0.1464  G001_2890 267.0228 -27.7583   null 
 G001.2981+0.0310  G001_2981 267.1398   -27.81   null 
 G001.3159-0.0466  G001_3159 267.2253 -27.8348   null 
 G001.3165-0.1432  G001_3165 267.3194  -27.884   null 
 G001.3214-0.0710  G001_3214 267.2523 -27.8427   null 
 G001.3810-0.2105  G001_3810 267.4222 -27.8634   null 
 G001.4536+0.2001  G001_4536 267.0668 -27.5896   null 
 G001.4727+0.0399  G001_4727 267.2328 -27.6559  11.68 
 G001.4811+0.1983  G001_4811 267.0846  -27.567   null 
 G001.5229-0.1140  G001_5229 267.4111  -27.692  10.68 
 G001.6359-0.0278  G001_6359 267.3931 -27.5507   null 
 G001.6387-0.1889  G001_6387 267.5508 -27.6311   null 
 G001.6486-0.0631  G001_6486 267.4347  -27.558   14.9 
 G001.6627-0.1744  G001_6627 267.5506  -27.603   null 
 G001.6662-0.1394  G001_6662 267.5187 -27.5821    8.3 
 G001.6825-0.0911  G001_6825 267.4814 -27.5433   null 
 G001.6971-0.1706  G001_6971 267.5668 -27.5716   null 
 G001.7640-0.4096  G001_7640 267.8371 -27.6364   null 
 G002.4446-0.5447  G002_4446 268.3584 -27.1195   null 
 G002.9402+0.1305  G002_9402 267.9898 -26.3494   16.0 
 G002.9836+0.0107  G002_9836 268.1295 -26.3731   null 
 G003.0371-0.0582  G003_0371 268.2261 -26.3621   null 
 G003.0928+0.1680  G003_0928 268.0406  -26.199   null 
 G003.1447+0.4733  G003_1447 267.7778 -25.9985   null 
 G003.2110+0.6465  G003_2110   267.65 -25.8529   null 
 G003.2278+0.4924  G003_2278 267.8067 -25.9173   null 
 G003.2413+0.6334  G003_2413 267.6797 -25.8336   3.96 
 G003.2702+0.4446  G003_2702 267.8765 -25.9053   null 
 G004.4076+0.0993  G004_4076 268.8458 -25.1005   null 
 G004.7473-0.7623  G004_7473 269.8576 -25.2383   null 
 G005.3876+0.1874  G005_3876 269.3042  -24.209   2.94 
 G005.8357-0.9958  G005_8357 270.6751 -24.4086   null 
 G005.8523-0.2397  G005_8523 269.9639 -24.0197   2.96 
 G005.8799-0.3591  G005_8799 270.0923 -24.0552   null 
 G005.8893-0.4565  G005_8893   270.19 -24.0953   2.93 
 G005.8917-0.3567  G005_8917 270.0964 -24.0437   null 
 G005.9394-0.3754  G005_9394 270.1402 -24.0115   null 
 G006.2130-0.5937  G006_2130 270.4959  -23.882   2.95 
 G006.4609-0.3902  G006_4609 270.4365  -23.566   null 
 G006.4916-0.3322  G006_4916 270.3981 -23.5105   null 
 G006.4982-0.3222  G006_4982 270.3922 -23.4999   null 
 G007.3449-0.0001  G007_3449 270.5428 -22.6046   2.97 
 G008.1102+0.2591  G008_1102 270.7072 -21.8111   2.98 
 G008.1232+0.2573  G008_1232 270.7158 -21.8007   2.99 
 G008.5441-0.3421  G008_5441 271.5005 -21.7281   4.45 
 G008.7264-0.3959  G008_7264 271.6468 -21.5952   4.47 
 G009.5776-0.6599  G009_5776 272.3382 -20.9795   null 
 G009.9517-0.3649  G009_9517  272.256 -20.5094   3.12 
 G010.0676-0.4076  G010_0676 272.3557 -20.4286   3.11 
 G010.1065-0.4168  G010_1065 272.3844  -20.399   3.11 
 G010.1365-0.4108  G010_1365 272.3943 -20.3698   3.12 
 G010.1839-0.4050  G010_1839 272.4133 -20.3256   3.12 
 G010.1904-0.3884  G010_1904 272.4012 -20.3118   3.12 
 G010.1976-0.2876  G010_1976 272.3108 -20.2568   3.12 
 G010.1984-0.3164  G010_1984  272.338   -20.27   3.12 
 G010.2144-0.3051  G010_2144 272.3358 -20.2506   3.12 
 G010.2190-0.3632  G010_2190 272.3924 -20.2746   3.12 
 G010.2488-0.1101  G010_2488 272.1718 -20.1259  14.56 
 G010.5743-0.7905  G010_5743 272.9739 -20.1695   null 
 G010.5785-0.3491  G010_5785 272.5642 -19.9531  16.61 
 G010.5959-0.3638  G010_5959 272.5869  -19.945  16.79 
 G010.6174-0.0304  G010_6174 272.2877  -19.765   10.7 
 G010.6233-0.5091  G010_6233 272.7365  -19.991  18.13 
 G010.6333-0.4978  G010_6333  272.731 -19.9768  17.94 
 G010.6627+0.0811  G010_6627 272.2074 -19.6713  14.51 
 G010.6847-0.3071  G010_6847 272.5797 -19.8398   3.09 
 G010.9823-0.3677  G010_9823 272.7886 -19.6084  16.54 
 G011.0970-0.1093  G011_0970 272.6071 -19.3832   3.03 
 G011.3811+0.8103  G011_3811 271.9017 -18.6892   2.82 
 G012.3628+0.4214  G012_3628 272.7609 -18.0185   2.96 
 G012.6738-0.0998  G012_6738 273.3987 -17.9961  10.73 
 G012.7025-0.1452  G012_7025 273.4549 -17.9926   3.04 
